event_id,customer_id,session_id,event_type,event_timestamp
E0000001,C00653,S000001,page_view,2024-01-03 09:00:00
E0000002,C00653,S000001,product_view,2024-01-03 09:03:00
E0000003,C00091,S000002,page_view,2024-01-02 09:00:00
E0000004,C00091,S000002,product_view,2024-01-02 09:15:00
E0000005,C00985,S000003,page_view,2024-06-18 09:00:00
E0000006,C00985,S000003,product_view,2024-06-18 09:09:00
E0000007,C00985,S000003,add_to_cart,2024-06-18 09:19:00
E0000008,C00985,S000003,checkout,2024-06-18 09:32:00
E0000009,C00985,S000003,purchase,2024-06-18 09:46:00
E0000010,C00232,S000004,page_view,2024-06-25 09:00:00
E0000011,C00232,S000004,product_view,2024-06-25 09:01:00
E0000012,C01531,S000005,page_view,2025-12-19 09:00:00
E0000013,C01531,S000005,product_view,2025-12-19 09:10:00
E0000014,C01531,S000005,add_to_cart,2025-12-19 09:13:00
E0000015,C01531,S000005,checkout,2025-12-19 09:27:00
E0000016,C01531,S000005,purchase,2025-12-19 09:34:00
E0000017,C01304,S000006,page_view,2025-04-08 09:00:00
E0000018,C01304,S000006,product_view,2025-04-08 09:09:00
E0000019,C00127,S000007,page_view,2025-10-24 09:00:00
E0000020,C00127,S000007,product_view,2025-10-24 09:02:00
E0000021,C00127,S000007,add_to_cart,2025-10-24 09:07:00
E0000022,C00029,S000008,page_view,2025-10-19 09:00:00
E0000023,C00029,S000008,product_view,2025-10-19 09:08:00
E0000024,C01445,S000009,page_view,2025-06-30 09:00:00
E0000025,C01445,S000009,product_view,2025-06-30 09:15:00
E0000026,C01445,S000009,add_to_cart,2025-06-30 09:27:00
E0000027,C01063,S000010,page_view,2025-12-22 09:00:00
E0000028,C01063,S000010,product_view,2025-12-22 09:15:00
E0000029,C01063,S000010,add_to_cart,2025-12-22 09:27:00
E0000030,C01063,S000010,checkout,2025-12-22 09:41:00
E0000031,C01063,S000010,purchase,2025-12-22 09:49:00
E0000032,C00895,S000011,page_view,2024-08-06 09:00:00
E0000033,C00895,S000011,product_view,2024-08-06 09:15:00
E0000034,C00895,S000011,add_to_cart,2024-08-06 09:23:00
E0000035,C00895,S000011,checkout,2024-08-06 09:33:00
E0000036,C00697,S000012,page_view,2024-11-17 09:00:00
E0000037,C00697,S000012,product_view,2024-11-17 09:08:00
E0000038,C00697,S000012,add_to_cart,2024-11-17 09:16:00
E0000039,C00697,S000012,checkout,2024-11-17 09:26:00
E0000040,C00697,S000012,purchase,2024-11-17 09:40:00
E0000041,C00033,S000013,page_view,2025-04-25 09:00:00
E0000042,C00033,S000013,product_view,2025-04-25 09:05:00
E0000043,C01202,S000014,page_view,2024-08-11 09:00:00
E0000044,C01202,S000014,product_view,2024-08-11 09:10:00
E0000045,C01202,S000014,add_to_cart,2024-08-11 09:21:00
E0000046,C00575,S000015,page_view,2024-08-23 09:00:00
E0000047,C00575,S000015,product_view,2024-08-23 09:10:00
E0000048,C01656,S000016,page_view,2025-03-20 09:00:00
E0000049,C01656,S000016,product_view,2025-03-20 09:12:00
E0000050,C01656,S000016,add_to_cart,2025-03-20 09:15:00
E0000051,C01656,S000016,checkout,2025-03-20 09:28:00
E0000052,C01656,S000016,purchase,2025-03-20 09:35:00
E0000053,C00031,S000017,page_view,2025-09-24 09:00:00
E0000054,C00031,S000017,product_view,2025-09-24 09:07:00
E0000055,C00031,S000017,add_to_cart,2025-09-24 09:12:00
